name,region,year,POP,GDP,HEX,LAN,MOR
Indonesia,East Asia & Pacific,2002,217369087,196e9,2.26862572,1811570,47.6
"Iran, Islamic Rep.",Middle East & North Africa,2002,67696677,129e9,5.38928283,1628550,30.8
Iraq,Middle East & North Africa,2002,24943793,NA,NA,437370,43
Ireland,Europe & Central Asia,2002,3931947,128e9,6.85271589,68890,6.5
Isle of Man,Europe & Central Asia,2002,78318,1897606791,NA,570,NA
Israel,Middle East & North Africa,2002,657e4,121e9,7.49158352,21640,6.4
Italy,Europe & Central Asia,2002,57059007,127e10,8.22996699,294110,5
Jamaica,Latin America & Caribbean,2002,2615253,9694161516,4.85575957,10830,20.9
Japan,East Asia & Pacific,2002,127445e3,398e10,7.84847852,364500,4.1
Jordan,Middle East & North Africa,2002,4938935,9580161861,9.68129541,88240,26.2
Kazakhstan,Europe & Central Asia,2002,14858948,24636598581,3.61480665,2699700,39
Kenya,Sub-Saharan Africa,2002,32691980,13147743911,4.53836443,569140,99.9
Kiribati,East Asia & Pacific,2002,87343,72259045.96,9.10312141,810,66.9
"Korea, Dem. People<92>s Rep.",East Asia & Pacific,2002,23248053,NA,NA,120410,44.6
"Korea, Rep.",East Asia & Pacific,2002,47622179,609e9,4.61261035,96790,6.5
Kosovo,Europe & Central Asia,2002,1702310,2702427047,NA,10887,NA
Kuwait,Middle East & North Africa,2002,2042215,38137545245,3.56384791,17820,12.3
Kyrgyz Republic,Europe & Central Asia,2002,4990700,1605640633,5.43420861,191800,44.4
Lao PDR,East Asia & Pacific,2002,5502340,1758176653,4.04067662,230800,109.2
Latvia,Europe & Central Asia,2002,2310173,9537868349,6.28923484,62196,15.1
Lebanon,Middle East & North Africa,2002,3522842,19152238806,10.04646111,10230,17.6
Lesotho,Sub-Saharan Africa,2002,1885488,656752929.1,6.90802017,30360,120.4
Liberia,Sub-Saharan Africa,2002,3070673,543e6,5.42610813,96320,157.6
Libya,Middle East & North Africa,2002,5518341,20481889764,4.56836292,1759540,26.5
Liechtenstein,Europe & Central Asia,2002,33995,2688617885,NA,160,NA
Lithuania,Europe & Central Asia,2002,3443067,14278357284,6.39610514,62680,10.9
Luxembourg,Europe & Central Asia,2002,446175,23308582722,8.26666277,2590,4.3
"Macao SAR, China",East Asia & Pacific,2002,444178,7322690268,NA,27,NA
"Macedonia, FYR",Europe & Central Asia,2002,2028706,4018365247,9.01364237,25430,14.5
Madagascar,Sub-Saharan Africa,2002,16736029,4397254608,5.29448848,581540,97.2
Malawi,Sub-Saharan Africa,2002,11788731,3495597587,4.82253715,94280,148
Malaysia,East Asia & Pacific,2002,24401977,101e9,3.40338142,328550,8.9
Maldives,South Asia,2002,297e3,910864148.4,5.77722073,300,34.3
Mali,Sub-Saharan Africa,2002,11723017,3889758024,6.31707332,1220190,201.8
Malta,Middle East & North Africa,2002,395969,4296164768,7.85889852,320,7.3
